Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,12.127623691029237,11.995768363920703,11.81025098508195,11.733590911181638,11.724391702313602,11.782653358477837,11.893043864894286,11.733590911181638,11.779586955521825,11.779586955521825,11.771920948131793,11.91604188706438,11.983502752096653,11.966637535838585,11.949772319580516,11.949772319580516,11.949772319580516,11.94823911810251,11.94823911810251,11.945172715146498,11.943639513668492,11.93597350627846,11.914508685586373,11.905309476718335,11.850114223510111,11.804118179169924,11.949772319580516,11.940573110712478,12.003434371310734,12.003434371310734,..
Afghanistan,AFG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,58.15,56.52,54.92,53.65,51.35,49.27,49.33,46.98,44.96,44.95,57.66,54.92,57.7,59,59.91,60.3,63.05,64.85,60.55,51.39,53.28,63.83,69.54,62.02,77.6,74.15,84.84,73.83,93.14,89.61,81.18,94.48,93,99.78,95.68,104.54,99.69,94.93,121.7,129.43,121.5,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.42081713862066,14.34215279753703,..
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.81012700648538,22.71086418283263,26.22678975006658,26.812099232639845,28.210768071999375,26.8822416082148,26.915628002628495,21.897122206940622,21.151420697712823,22.740252482027298,21.157807153975085,20.444605313256055,21.229663218180512,22.124042490692624,10.466807693820131,10.051873996906274,13.387246959797562,14.05811236977681,12.952599601554693,14.273657019178817,..
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1340,1570,1770,1750,1960,2070,2120,2140,2050,2120,2140,2200,2090,1680,..
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.049,..,..,..,2.933,..,9.963,..,..,17.574,..,..,16.2,8.708,..
Afghanistan,AFG,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,..,..,..,47.031,47.026,47.007,46.967,46.915,46.864,46.806,46.767,46.749,46.75,46.758,46.791,46.844,46.908,46.979,47.057,47.006,46.963,46.929,46.9,46.874,46.908,46.96,47.03,47.1,47.17,47.24,47.31,47.394,47.487,41.58,..,..
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,5726741,5163712,5081674,5219865,5345522,5301692,5226926,5246397,5380687,5377229,5384510,6019621,6964546,7651708,8087000,8379675,8665271,8959026,9284531,9380032,9420854,10031307,10811839,11254197,11738147,12331417,12433299,12630067,13239481,13722048,14437898,15286716,16000570,16802817,17485014,18038552,18706224,19401609,20127704,20957369,21722439,22404909
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,-11.2753243281662,-10.0530062531184,-1.36570774423119,2.89433470700097,2.58769693348811,-0.608560872677256,-1.21019039755447,0.586318311683292,2.75187729340688,0.202433955671883,0.469880406765633,11.5225244151801,14.9644548746872,9.86426206628341,6.04653555233991,4.1030220499493,3.9106052193522,3.88293060489748,4.07787948472197,1.4438030241194,0.742516834396313,6.44932147797304,7.54101896480183,3.93317768847308,3.57650800354462,4.13967803534352,1.79319572747206,2.00233326232255,3.56128837446668,2.89490410370988,3.68950830230738,4.07762772858795,3.46678830410982,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073,2.88520797304849,2.90852909268743,3.13474690779163,2.85135765449931,2.53449831666733
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,83.438,82.85300000000001,82.253,81.635,81.003,80.35300000000001,79.686,79.002,78.912,78.82300000000001,78.73400000000001,78.645,78.556,78.46600000000001,78.376,78.286,78.195,78.105,78.014,77.922,77.831,77.739,77.64699999999999,77.5,77.297,77.093,76.887,76.68,76.47200000000001,76.263,76.05199999999999,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246,73.974,73.686,73.384
Afghanistan,AFG,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-25.868260274168943,-22.727410779653,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.005174215982802997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3069498818664167,1.2784932410493524,3.5771042005840017,4.368673133653412,3.4137729484574684,1.9357017303706912,0.45536044883055316,0.45188914867907226,1.2031179943217962,0.2930251769674756,0.2854408917136464,0.23980118299160347,0.20966479421558998,0.8840004587506174,0.5166060844075312,0.27479679144451896,0.6615722160474269,0.12449598579132921,0.06499395715256867,0.14440105788572635,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,344.22418262142986,347.4152410616412,338.7393978384425,363.5414691984323,367.485851243822,410.86161250523696,418.52317277231447,490.27283655532096,544.6892968760567,527.1973392737982,570.6760643370048,582.1039789028771,576.4878203347816,566.8811326650718,564.9208435533969,563.4882394219833,553.9733089086492,559.1409568986878,529.144912477888,407.61650736173664,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9270291284912133,-2.4972546387679557,7.321873841146413,1.08498820068219,11.80338266482967,1.8647544657094812,17.143534325168616,11.099219916621976,-3.2113642956782087,8.247144252112008,2.0025221452294204,-0.9648033292403255,-1.6664164152038694,-0.34580249698186094,-0.25359378181239833,-1.6885765926711258,0.9328333887095255,-5.364665930962175,-22.966941994595828,..
Afghanistan,AFG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-14.412566793010399,-9.74070711301084,..
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-21.256146929897227,..
