Area,Item,Year,Value,Unit
Afghanistan,Gross Domestic Product,1970,1731.435587,million USD
Afghanistan,Gross Domestic Product,1971,1812.837521,million USD
Afghanistan,Gross Domestic Product,1972,1647.900178,million USD
Afghanistan,Gross Domestic Product,1973,1702.716294,million USD
Afghanistan,Gross Domestic Product,1974,2061.729287,million USD
Afghanistan,Gross Domestic Product,1975,2319.753506,million USD
Afghanistan,Gross Domestic Product,1976,2513.580659,million USD
Afghanistan,Gross Domestic Product,1977,2864.939207,million USD
Afghanistan,Gross Domestic Product,1978,3222.963833,million USD
Afghanistan,Gross Domestic Product,1979,3630.767856,million USD
Afghanistan,Gross Domestic Product,1980,3646.796868,million USD
Afghanistan,Gross Domestic Product,1981,3427.482014,million USD
Afghanistan,Gross Domestic Product,1982,3430.645143,million USD
Afghanistan,Gross Domestic Product,1983,3408.204613,million USD
Afghanistan,Gross Domestic Product,1984,3369.110951,million USD
Afghanistan,Gross Domestic Product,1985,3330.465681,million USD
Afghanistan,Gross Domestic Product,1986,3320.888887,million USD
Afghanistan,Gross Domestic Product,1987,2983.743471,million USD
Afghanistan,Gross Domestic Product,1988,2713.899488,million USD
Afghanistan,Gross Domestic Product,1989,3191.557068,million USD
Afghanistan,Gross Domestic Product,1990,3559.511736,million USD
Afghanistan,Gross Domestic Product,1991,3402.65494,million USD
Afghanistan,Gross Domestic Product,1992,3444.711414,million USD
Afghanistan,Gross Domestic Product,1993,2844.442641,million USD
Afghanistan,Gross Domestic Product,1994,1715.169169,million USD
Afghanistan,Gross Domestic Product,1995,2756.838036,million USD
Afghanistan,Gross Domestic Product,1996,2669.785634,million USD
Afghanistan,Gross Domestic Product,1997,2924.589326,million USD
Afghanistan,Gross Domestic Product,1998,2935.139404,million USD
Afghanistan,Gross Domestic Product,1999,2157.197316,million USD
Afghanistan,Gross Domestic Product,2000,3342.034168,million USD
Afghanistan,Gross Domestic Product,2001,3598.470576,million USD
Afghanistan,Gross Domestic Product,2002,4141.523943,million USD
Afghanistan,Gross Domestic Product,2003,4729.042179,million USD
Afghanistan,Gross Domestic Product,2004,5388.482107,million USD
Afghanistan,Gross Domestic Product,2005,6220.574147,million USD
Afghanistan,Gross Domestic Product,2006,7104.711445,million USD
Afghanistan,Gross Domestic Product,2007,9412.161765,million USD
Afghanistan,Gross Domestic Product,2008,10236.901594,million USD
Afghanistan,Gross Domestic Product,2009,11595.133469,million USD
Afghanistan,Gross Domestic Product,2010,14698.889678,million USD
Afghanistan,Gross Domestic Product,2011,17350.694945,million USD
Afghanistan,Gross Domestic Product,2012,19136.499341,million USD
Afghanistan,Gross Domestic Product,2013,19621.802455,million USD
Afghanistan,Gross Domestic Product,2014,19550.702567,million USD
Afghanistan,Gross Domestic Product,2015,18713.04841,million USD
Afghanistan,Gross Domestic Product,2016,18019.558182,million USD
Afghanistan,Gross Domestic Product,2017,18896.352021,million USD
Afghanistan,Gross Domestic Product,2018,18418.8483,million USD
Afghanistan,Gross Domestic Product,2019,18904.490263,million USD
Afghanistan,Gross Domestic Product,2020,20143.441792,million USD
Afghanistan,Gross Domestic Product,2021,14939.009447,million USD
Afghanistan,Gross Domestic Product,2022,14872.238537,million USD
Albania,Gross Domestic Product,1970,2265.577056,million USD
Albania,Gross Domestic Product,1971,2330.58486,million USD
Albania,Gross Domestic Product,1972,2397.526448,million USD
Albania,Gross Domestic Product,1973,2466.543461,million USD
Albania,Gross Domestic Product,1974,2537.015817,million USD
Albania,Gross Domestic Product,1975,2610.110369,million USD
Albania,Gross Domestic Product,1976,2685.745678,million USD
Albania,Gross Domestic Product,1977,2760.746397,million USD
Albania,Gross Domestic Product,1978,2842.275926,million USD
Albania,Gross Domestic Product,1979,2372.305641,million USD
Albania,Gross Domestic Product,1980,2141.837051,million USD
Albania,Gross Domestic Product,1981,2215.474766,million USD
Albania,Gross Domestic Product,1982,2280.424885,million USD
Albania,Gross Domestic Product,1983,2305.384485,million USD
Albania,Gross Domestic Product,1984,2275.736342,million USD
Albania,Gross Domestic Product,1985,2324.414456,million USD
Albania,Gross Domestic Product,1986,2397.086883,million USD
Albania,Gross Domestic Product,1987,2378.19481,million USD
Albania,Gross Domestic Product,1988,2460.399974,million USD
Albania,Gross Domestic Product,1989,2940.586487,million USD
Albania,Gross Domestic Product,1990,2145.751209,million USD
Albania,Gross Domestic Product,1991,1597.139589,million USD
Albania,Gross Domestic Product,1992,1516.132824,million USD
Albania,Gross Domestic Product,1993,1700.439125,million USD
Albania,Gross Domestic Product,1994,1880.950821,million USD
Albania,Gross Domestic Product,1995,2392.764887,million USD
Albania,Gross Domestic Product,1996,3199.642024,million USD
Albania,Gross Domestic Product,1997,2224.654241,million USD
Albania,Gross Domestic Product,1998,2554.868837,million USD
Albania,Gross Domestic Product,1999,3221.670165,million USD
Albania,Gross Domestic Product,2000,3487.586302,million USD
Albania,Gross Domestic Product,2001,3926.887597,million USD
Albania,Gross Domestic Product,2002,4355.865889,million USD
Albania,Gross Domestic Product,2003,5561.459461,million USD
Albania,Gross Domestic Product,2004,7177.030365,million USD
Albania,Gross Domestic Product,2005,8052.079314,million USD
Albania,Gross Domestic Product,2006,8896.076004,million USD
Albania,Gross Domestic Product,2007,10677.32222,million USD
Albania,Gross Domestic Product,2008,12881.352058,million USD
Albania,Gross Domestic Product,2009,12044.21039,million USD
Albania,Gross Domestic Product,2010,11926.948284,million USD
Albania,Gross Domestic Product,2011,12890.873323,million USD
Albania,Gross Domestic Product,2012,12319.779604,million USD
Albania,Gross Domestic Product,2013,12776.280738,million USD
Albania,Gross Domestic Product,2014,13228.240079,million USD
Albania,Gross Domestic Product,2015,11386.924853,million USD
Albania,Gross Domestic Product,2016,11861.356451,million USD
Albania,Gross Domestic Product,2017,13019.729856,million USD
Albania,Gross Domestic Product,2018,15156.439968,million USD
Albania,Gross Domestic Product,2019,15401.82608,million USD
Albania,Gross Domestic Product,2020,15131.866271,million USD
Albania,Gross Domestic Product,2021,18260.0435,million USD
Albania,Gross Domestic Product,2022,19229.058496,million USD
Algeria,Gross Domestic Product,1970,5155.120658,million USD
Algeria,Gross Domestic Product,1971,5363.67616,million USD
Algeria,Gross Domestic Product,1972,7176.428384,million USD
Algeria,Gross Domestic Product,1973,9229.6222,million USD
Algeria,Gross Domestic Product,1974,13259.76465,million USD
Algeria,Gross Domestic Product,1975,15555.547083,million USD
Algeria,Gross Domestic Product,1976,17750.032488,million USD
Algeria,Gross Domestic Product,1977,20990.93914,million USD
Algeria,Gross Domestic Product,1978,26373.761387,million USD
Algeria,Gross Domestic Product,1979,33201.433009,million USD
Algeria,Gross Domestic Product,1980,42252.197741,million USD
Algeria,Gross Domestic Product,1981,44264.573122,million USD
Algeria,Gross Domestic Product,1982,45094.84277,million USD
Algeria,Gross Domestic Product,1983,48702.201863,million USD
Algeria,Gross Domestic Product,1984,52827.902259,million USD
Algeria,Gross Domestic Product,1985,57866.207279,million USD
Algeria,Gross Domestic Product,1986,62922.803868,million USD
Algeria,Gross Domestic Product,1987,64333.578322,million USD
