Area,Item,Year,Value,Unit
Afghanistan,Gross Domestic Product,1970,161.019274,USD
Afghanistan,Gross Domestic Product,1971,164.566181,USD
Afghanistan,Gross Domestic Product,1972,146.003034,USD
Afghanistan,Gross Domestic Product,1973,147.099044,USD
Afghanistan,Gross Domestic Product,1974,173.694213,USD
Afghanistan,Gross Domestic Product,1975,190.810221,USD
Afghanistan,Gross Domestic Product,1976,202.295907,USD
Afghanistan,Gross Domestic Product,1977,225.811558,USD
Afghanistan,Gross Domestic Product,1978,249.091754,USD
Afghanistan,Gross Domestic Product,1979,279.582989,USD
Afghanistan,Gross Domestic Product,1980,292.056109,USD
Afghanistan,Gross Domestic Product,1981,307.254334,USD
Afghanistan,Gross Domestic Product,1982,340.06214,USD
Afghanistan,Gross Domestic Product,1983,342.483252,USD
Afghanistan,Gross Domestic Product,1984,328.896351,USD
Afghanistan,Gross Domestic Product,1985,316.818461,USD
Afghanistan,Gross Domestic Product,1986,317.835797,USD
Afghanistan,Gross Domestic Product,1987,289.045183,USD
Afghanistan,Gross Domestic Product,1988,261.367549,USD
Afghanistan,Gross Domestic Product,1989,299.026219,USD
Afghanistan,Gross Domestic Product,1990,332.82652,USD
Afghanistan,Gross Domestic Product,1991,316.668409,USD
Afghanistan,Gross Domestic Product,1992,285.691939,USD
Afghanistan,Gross Domestic Product,1993,203.119922,USD
Afghanistan,Gross Domestic Product,1994,110.974285,USD
Afghanistan,Gross Domestic Product,1995,167.906256,USD
Afghanistan,Gross Domestic Product,1996,156.067624,USD
Afghanistan,Gross Domestic Product,1997,164.406042,USD
Afghanistan,Gross Domestic Product,1998,158.715106,USD
Afghanistan,Gross Domestic Product,1999,111.98746,USD
Afghanistan,Gross Domestic Product,2000,171.009428,USD
Afghanistan,Gross Domestic Product,2001,182.768949,USD
Afghanistan,Gross Domestic Product,2002,197.213022,USD
Afghanistan,Gross Domestic Product,2003,208.832636,USD
Afghanistan,Gross Domestic Product,2004,228.775784,USD
Afghanistan,Gross Domestic Product,2005,254.824689,USD
Afghanistan,Gross Domestic Product,2006,279.240934,USD
Afghanistan,Gross Domestic Product,2007,363.357619,USD
Afghanistan,Gross Domestic Product,2008,387.362338,USD
Afghanistan,Gross Domestic Product,2009,423.407102,USD
Afghanistan,Gross Domestic Product,2010,521.428191,USD
Afghanistan,Gross Domestic Product,2011,593.203248,USD
Afghanistan,Gross Domestic Product,2012,628.116539,USD
Afghanistan,Gross Domestic Product,2013,622.100518,USD
Afghanistan,Gross Domestic Product,2014,597.584579,USD
Afghanistan,Gross Domestic Product,2015,554.403216,USD
Afghanistan,Gross Domestic Product,2016,520.252064,USD
Afghanistan,Gross Domestic Product,2017,530.149831,USD
Afghanistan,Gross Domestic Product,2018,502.056771,USD
Afghanistan,Gross Domestic Product,2019,500.522664,USD
Afghanistan,Gross Domestic Product,2020,516.866543,USD
Afghanistan,Gross Domestic Product,2021,372.548875,USD
Afghanistan,Gross Domestic Product,2022,361.601822,USD
Albania,Gross Domestic Product,1970,974.554499,USD
Albania,Gross Domestic Product,1971,975.21682,USD
Albania,Gross Domestic Product,1972,976.521166,USD
Albania,Gross Domestic Product,1973,978.617771,USD
Albania,Gross Domestic Product,1974,981.265874,USD
Albania,Gross Domestic Product,1975,984.901966,USD
Albania,Gross Domestic Product,1976,989.749878,USD
Albania,Gross Domestic Product,1977,994.937066,USD
Albania,Gross Domestic Product,1978,1003.163054,USD
Albania,Gross Domestic Product,1979,821.218508,USD
Albania,Gross Domestic Product,1980,728.107125,USD
Albania,Gross Domestic Product,1981,740.369907,USD
Albania,Gross Domestic Product,1982,749.848952,USD
Albania,Gross Domestic Product,1983,746.583851,USD
Albania,Gross Domestic Product,1984,726.671599,USD
Albania,Gross Domestic Product,1985,732.854978,USD
Albania,Gross Domestic Product,1986,747.424762,USD
Albania,Gross Domestic Product,1987,734.537616,USD
Albania,Gross Domestic Product,1988,754.025635,USD
Albania,Gross Domestic Product,1989,895.924262,USD
Albania,Gross Domestic Product,1990,651.201284,USD
Albania,Gross Domestic Product,1991,483.676684,USD
Albania,Gross Domestic Product,1992,458.914225,USD
Albania,Gross Domestic Product,1993,515.173587,USD
Albania,Gross Domestic Product,1994,571.023495,USD
Albania,Gross Domestic Product,1995,728.532187,USD
Albania,Gross Domestic Product,1996,978.085686,USD
Albania,Gross Domestic Product,1997,683.726604,USD
Albania,Gross Domestic Product,1998,790.448796,USD
Albania,Gross Domestic Product,1999,1004.179887,USD
Albania,Gross Domestic Product,2000,1096.028688,USD
Albania,Gross Domestic Product,2001,1245.20315,USD
Albania,Gross Domestic Product,2002,1394.523697,USD
Albania,Gross Domestic Product,2003,1798.084592,USD
Albania,Gross Domestic Product,2004,2343.426765,USD
Albania,Gross Domestic Product,2005,2655.143784,USD
Albania,Gross Domestic Product,2006,2962.014554,USD
Albania,Gross Domestic Product,2007,3587.70862,USD
Albania,Gross Domestic Product,2008,4364.06141,USD
Albania,Gross Domestic Product,2009,4109.893153,USD
Albania,Gross Domestic Product,2010,4093.8259,USD
Albania,Gross Domestic Product,2011,4444.126505,USD
Albania,Gross Domestic Product,2012,4259.667181,USD
Albania,Gross Domestic Product,2013,4425.430822,USD
Albania,Gross Domestic Product,2014,4586.606188,USD
Albania,Gross Domestic Product,2015,3950.390255,USD
Albania,Gross Domestic Product,2016,4117.00697,USD
Albania,Gross Domestic Product,2017,4521.752217,USD
Albania,Gross Domestic Product,2018,5268.116608,USD
Albania,Gross Domestic Product,2019,5359.239078,USD
Albania,Gross Domestic Product,2020,5278.222282,USD
Albania,Gross Domestic Product,2021,6396.461812,USD
Albania,Gross Domestic Product,2022,6765.266307,USD
Algeria,Gross Domestic Product,1970,373.67008,USD
Algeria,Gross Domestic Product,1971,380.125666,USD
